PlayerName,InAlliance,Note
abu47,1,
Aegolas,1,
Alonzo Mosley,1,
Jane Doe 0815,1,
Amy0815,1,
APM77,0,
b1e90ff,1,
Baldurbabu,1,
BjörnBärchi,1,
BobbydyBob,1,
Caplap,1,
capsharky,1,
Carl2708,0,
Cheezusfries,1,
cindy934,1,
Colombo123,1,
CommanderPiwi,1,
CRZDR79,1,
CS8888,1,
Cupra290,1,
Damien 44,1,
Dany Bossss,1,
Darkface 46,1,
Darkhold,1,
Dennis388,0,
Der Mok,1,
DerOle83,1,
DevastatorJMI,1,
DhairyaXD,0,entfernt per 2025-11-13
DNA16,1,
Domdom15,1,
Doodo12,1,
Dragon0407,1,
Elevn765,1,
Estintore,1,
Evil Activities,1,
Fenworld,1,
Globi3000,1,
Grizzly CHE,1,
HANN1453,1,
Haui1986,1,
HeJoe,1,
ilishelbymf,1,
itsH4K1,1,
jaymacmacjay,1,
Jimmy die Robbe,1,
Jo Ghurt,1,
John Doe 0815,1,
Kaiserslautern1900,1,
Kamikaze82,1,
Kartoffeleis,0,ausgetreten 2025-11-09
King21king,1,
KingKobra2,0,
Kinkel27,1,
KUBI01,1,
Kurme,1,
König Hoffi,1,
LarZde,1,
Leraxo,1,
Littel Joe,1,
lOmsen,0,
Maggyispass,1,
Mahaja,1,
Maik Elt,1,
Major Fibonacci,1,
Manu1206,1,
Marikopopo,1,
Michael 3840,1,
MODA33,1,
Mokari2111x,0,
Shady city,0,
Moscha,1,
Nico 90,1,
nikelas69,1,
NkTobi,1,
OGnastea,1,
Olympusbimbus,1,
PAvluWKA,1,
Pick Lussy,1,
Pickopf,1,
PushingSky,1,
PustxBlumx,1,
rompa RU96,1,früher: rompa007
Saribaron,1,
Schalmei3,1,
Schlumpfsoldat 4714,1,
Slepy83,1,
Stiegl 13,1,
TheFisch,1,
Tobinho25,1,
Toto 69,1,
Wadson17,1,
Wellsyone,1,
x Earl x,1,
x Scorpion x,1,
Yoda0201,1,
Yusam 83,1,
ZANGE,1,
Zombie 666 80 420,1,
Kurdun Laneti,1,
Re3Slim3,1,
kalash89,0,
Joschy81,1,
Ginge4,1,
Satauman,1,
